Ausbauziele;Onshore;Offshore;PV;Erzeugung aus erneurbaren;;;;;;;;;;;;;;;;;;;;
2023;;8;;287;;;;;;;;;;;;;;;;;;;;
2024;69;16;88;310;;;;;;;;;;;;;;;;;;;;
2025;;;;346;;;;;;;;;;;;;;;;;;;;
2026;84;19;128;388;;;;;;;;;;;;;;;;;;;;
2027;;23;;433;;;;;;;;;;;;;;;;;;;;
2028;99;;172;479;;;;;;;;;;;;;;;;;;;;
2029;;27;;533;;;;;;;;;;;;;;;;;;;;
2030;115;30;215;600;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;; ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;; ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Ausbauziele;2023;2024;2025;2026;2027;2028;2029;2030;;;;;;;;
;;;;;;;;Onshore(GW);;69;;84;;99;;115;;;;;;;;
;;;;;;;;Offshore(GW);8;16;;19;23;;27;30;;;;;;;;
;;;;;;;;PV(GW);;88;;128;;172;;215;;;;;;;;
;;;;;;;;Erzeugung aus regenerativen Energien (TWH);287;310;346;388;433;479;533;600;;;;;;;;
